dataset,split,epoch,accuracy,accuracy_percent,plotted_as_test_marker
Spike-Encoded,Val,68,0.9359307359,93.59307359,False
Spike-Encoded,Val,69,0.9376623377,93.76623377,False
Spike-Encoded,Val,70,0.9393939394,93.93939394,False
Spike-Encoded,Val,71,0.941991342,94.1991342,False
Spike-Encoded,Val,72,0.9359307359,93.59307359,False
Spike-Encoded,Val,73,0.9376623377,93.76623377,False
Spike-Encoded,Val,74,0.9367965368,93.67965368,False
Spike-Encoded,Val,75,0.9333333333,93.33333333,False
Spike-Encoded,Val,76,0.9367965368,93.67965368,False
Spike-Encoded,Val,77,0.9376623377,93.76623377,False
Spike-Encoded,Val,78,0.9359307359,93.59307359,False
Spike-Encoded,Val,79,0.9333333333,93.33333333,False
Spike-Encoded,Val,80,0.9350649351,93.50649351,False
Spike-Encoded,Val,81,0.9385281385,93.85281385,False
Spike-Encoded,Val,82,0.9376623377,93.76623377,False
Spike-Encoded,Val,83,0.9359307359,93.59307359,False
Spike-Encoded,Val,84,0.9385281385,93.85281385,False
Spike-Encoded,Val,85,0.9385281385,93.85281385,False
Spike-Encoded,Val,86,0.9341991342,93.41991342,False
Spike-Encoded,Val,87,0.9376623377,93.76623377,False
Spike-Encoded,Val,88,0.941991342,94.1991342,False
Spike-Encoded,Val,89,0.9393939394,93.93939394,False
Spike-Encoded,Val,90,0.9376623377,93.76623377,False
Spike-Encoded,Val,91,0.9393939394,93.93939394,False
Spike-Encoded,Val,92,0.9367965368,93.67965368,False
Spike-Encoded,Val,93,0.9385281385,93.85281385,False
Spike-Encoded,Val,94,0.9359307359,93.59307359,False
Spike-Encoded,Val,95,0.9359307359,93.59307359,False
Spike-Encoded,Val,96,0.941991342,94.1991342,False
Spike-Encoded,Val,97,0.9385281385,93.85281385,False
Spike-Encoded,Val,98,0.9393939394,93.93939394,False
Spike-Encoded,Val,99,0.9367965368,93.67965368,False
Spike-Encoded,Val,100,0.9385281385,93.85281385,False
Spike-Encoded,Test,71,0.9264069264,92.64069264,True
Raw Pressure,Train,1,0.03024118738,3.024118738,False
Raw Pressure,Train,2,0.02894248609,2.894248609,False
Raw Pressure,Train,3,0.04155844156,4.155844156,False
Raw Pressure,Train,4,0.09480519481,9.480519481,False
Raw Pressure,Train,5,0.1500927644,15.00927644,False
Raw Pressure,Train,6,0.1768089054,17.68089054,False
Raw Pressure,Train,7,0.1933209647,19.33209647,False
Raw Pressure,Train,8,0.2113172542,21.13172542,False
Raw Pressure,Train,9,0.2421150278,24.21150278,False
Raw Pressure,Train,10,0.2714285714,27.14285714,False
Raw Pressure,Train,11,0.2873840445,28.73840445,False
Raw Pressure,Train,12,0.2987012987,29.87012987,False
Raw Pressure,Train,13,0.3222634508,32.22634508,False
Raw Pressure,Train,14,0.3244897959,32.44897959,False
Raw Pressure,Train,15,0.3543599258,35.43599258,False
Raw Pressure,Train,16,0.3445269017,34.45269017,False
Raw Pressure,Train,17,0.3345083488,33.45083488,False
Raw Pressure,Train,18,0.3584415584,35.84415584,False
Raw Pressure,Train,19,0.3697588126,36.97588126,False
Raw Pressure,Train,20,0.3619666048,36.19666048,False
Raw Pressure,Train,21,0.3734693878,37.34693878,False
Raw Pressure,Train,22,0.3666048237,36.66048237,False
Raw Pressure,Train,23,0.3730983302,37.30983302,False
Raw Pressure,Train,24,0.3747680891,37.47680891,False
Raw Pressure,Train,25,0.4187384045,41.87384045,False
Raw Pressure,Train,26,0.4313543599,43.13543599,False
Raw Pressure,Train,27,0.4074211503,40.74211503,False
Raw Pressure,Train,28,0.3888682746,38.88682746,False
Raw Pressure,Train,29,0.412244898,41.2244898,False
Raw Pressure,Train,30,0.3710575139,37.10575139,False
Raw Pressure,Train,31,0.3927643785,39.27643785,False
Raw Pressure,Train,32,0.4001855288,40.01855288,False
Raw Pressure,Train,33,0.4025974026,40.25974026,False
Raw Pressure,Train,34,0.4005565863,40.05565863,False
Raw Pressure,Train,35,0.3823747681,38.23747681,False
Raw Pressure,Train,36,0.3066790353,30.66790353,False
Raw Pressure,Train,37,0.3207792208,32.07792208,False
Raw Pressure,Train,38,0.3508348794,35.08348794,False
Raw Pressure,Train,39,0.3695732839,36.95732839,False
Raw Pressure,Train,40,0.3981447124,39.81447124,False
Raw Pressure,Train,41,0.3545454545,35.45454545,False
Raw Pressure,Train,42,0.3395176252,33.95176252,False
Raw Pressure,Train,43,0.3395176252,33.95176252,False
Raw Pressure,Train,44,0.3823747681,38.23747681,False
Raw Pressure,Train,45,0.3799628942,37.99628942,False
Raw Pressure,Train,46,0.3717996289,37.17996289,False
Raw Pressure,Train,47,0.387012987,38.7012987,False
Raw Pressure,Train,48,0.3697588126,36.97588126,False
Raw Pressure,Train,49,0.3690166976,36.90166976,False
Raw Pressure,Train,50,0.3391465677,33.91465677,False
Raw Pressure,Train,51,0.4287569573,42.87569573,False
Raw Pressure,Train,52,0.438961039,43.8961039,False
Raw Pressure,Train,53,0.4350649351,43.50649351,False
Raw Pressure,Train,54,0.4491651206,44.91651206,False
Raw Pressure,Train,55,0.3710575139,37.10575139,False
