true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
X,7,0,33,0,0
X,8,0,33,0,0
X,9,0,33,0,0
Y,A,0,33,0,0
Y,B,0,33,0,0
Y,C,0,33,0,0
Y,D,0,33,0,0
Y,E,0,33,0,0
Y,F,0,33,0,0
Y,G,0,33,0,0
Y,H,0,33,0,0
Y,I,0,33,0,0
Y,J,0,33,0,0
Y,K,0,33,0,0
Y,L,0,33,0,0
Y,M,0,33,0,0
Y,N,0,33,0,0
Y,O,0,33,0,0
Y,P,0,33,0,0
Y,Q,0,33,0,0
Y,R,0,33,0,0
Y,S,0,33,0,0
Y,T,0,33,0,0
Y,U,0,33,0,0
Y,V,0,33,0,0
Y,W,0,33,0,0
Y,X,0,33,0,0
Y,Y,33,33,1,100
Y,Z,0,33,0,0
Y,1,0,33,0,0
Y,2,0,33,0,0
Y,3,0,33,0,0
Y,4,0,33,0,0
Y,5,0,33,0,0
Y,6,0,33,0,0
Y,7,0,33,0,0
Y,8,0,33,0,0
Y,9,0,33,0,0
Z,A,0,33,0,0
Z,B,0,33,0,0
Z,C,0,33,0,0
Z,D,0,33,0,0
Z,E,0,33,0,0
Z,F,1,33,0.0303030303,3.03030303
Z,G,0,33,0,0
Z,H,0,33,0,0
Z,I,0,33,0,0
Z,J,0,33,0,0
Z,K,0,33,0,0
Z,L,0,33,0,0
Z,M,0,33,0,0
Z,N,0,33,0,0
Z,O,1,33,0.0303030303,3.03030303
Z,P,0,33,0,0
Z,Q,0,33,0,0
Z,R,0,33,0,0
Z,S,0,33,0,0
Z,T,0,33,0,0
Z,U,0,33,0,0
Z,V,0,33,0,0
Z,W,0,33,0,0
Z,X,0,33,0,0
Z,Y,0,33,0,0
Z,Z,30,33,0.9090909091,90.90909091
Z,1,0,33,0,0
Z,2,1,33,0.0303030303,3.03030303
Z,3,0,33,0,0
Z,4,0,33,0,0
Z,5,0,33,0,0
Z,6,0,33,0,0
Z,7,0,33,0,0
Z,8,0,33,0,0
Z,9,0,33,0,0
1,A,0,33,0,0
1,B,0,33,0,0
1,C,0,33,0,0
1,D,0,33,0,0
1,E,0,33,0,0
1,F,0,33,0,0
1,G,0,33,0,0
1,H,0,33,0,0
1,I,3,33,0.09090909091,9.090909091
1,J,0,33,0,0
1,K,0,33,0,0
1,L,1,33,0.0303030303,3.03030303
1,M,0,33,0,0
1,N,0,33,0,0
1,O,0,33,0,0
1,P,0,33,0,0
1,Q,0,33,0,0
1,R,0,33,0,0
1,S,0,33,0,0
1,T,1,33,0.0303030303,3.03030303
1,U,0,33,0,0
1,V,0,33,0,0
1,W,0,33,0,0
1,X,0,33,0,0
1,Y,0,33,0,0
1,Z,0,33,0,0
1,1,28,33,0.8484848485,84.84848485
1,2,0,33,0,0
1,3,0,33,0,0
1,4,0,33,0,0
1,5,0,33,0,0
1,6,0,33,0,0
1,7,0,33,0,0
1,8,0,33,0,0
1,9,0,33,0,0
2,A,0,33,0,0
2,B,0,33,0,0
2,C,0,33,0,0
2,D,0,33,0,0
2,E,0,33,0,0
2,F,0,33,0,0
2,G,0,33,0,0
2,H,0,33,0,0
2,I,2,33,0.06060606061,6.060606061
2,J,0,33,0,0
2,K,0,33,0,0
2,L,0,33,0,0
2,M,0,33,0,0
2,N,0,33,0,0
2,O,0,33,0,0
2,P,0,33,0,0
2,Q,0,33,0,0
2,R,0,33,0,0
2,S,0,33,0,0
2,T,0,33,0,0
2,U,0,33,0,0
2,V,0,33,0,0
2,W,0,33,0,0
2,X,0,33,0,0
2,Y,0,33,0,0
2,Z,0,33,0,0
2,1,0,33,0,0
2,2,30,33,0.9090909091,90.90909091
2,3,1,33,0.0303030303,3.03030303
2,4,0,33,0,0
2,5,0,33,0,0
2,6,0,33,0,0
2,7,0,33,0,0
2,8,0,33,0,0
2,9,0,33,0,0
3,A,0,33,0,0
3,B,0,33,0,0
3,C,0,33,0,0
3,D,0,33,0,0
3,E,0,33,0,0
3,F,0,33,0,0
3,G,0,33,0,0
3,H,0,33,0,0
3,I,0,33,0,0
3,J,0,33,0,0
3,K,0,33,0,0
3,L,0,33,0,0
3,M,0,33,0,0
3,N,0,33,0,0
3,O,0,33,0,0
3,P,0,33,0,0
3,Q,0,33,0,0
3,R,0,33,0,0
3,S,0,33,0,0
3,T,0,33,0,0
3,U,0,33,0,0
3,V,0,33,0,0
3,W,0,33,0,0
3,X,1,33,0.0303030303,3.03030303
3,Y,0,33,0,0
3,Z,0,33,0,0
3,1,0,33,0,0
3,2,0,33,0,0
3,3,31,33,0.9393939394,93.93939394
3,4,0,33,0,0
3,5,0,33,0,0
3,6,1,33,0.0303030303,3.03030303
3,7,0,33,0,0
3,8,0,33,0,0
3,9,0,33,0,0
4,A,0,33,0,0
4,B,0,33,0,0
4,C,0,33,0,0
4,D,0,33,0,0
4,E,0,33,0,0
4,F,0,33,0,0
4,G,1,33,0.0303030303,3.03030303
4,H,1,33,0.0303030303,3.03030303
4,I,0,33,0,0
4,J,0,33,0,0
4,K,0,33,0,0
4,L,0,33,0,0
4,M,0,33,0,0
4,N,0,33,0,0
4,O,0,33,0,0
4,P,0,33,0,0
4,Q,0,33,0,0
4,R,0,33,0,0
4,S,0,33,0,0
4,T,0,33,0,0
4,U,0,33,0,0
4,V,0,33,0,0
4,W,0,33,0,0
4,X,0,33,0,0
4,Y,0,33,0,0
4,Z,1,33,0.0303030303,3.03030303
4,1,0,33,0,0
4,2,0,33,0,0
4,3,0,33,0,0
4,4,30,33,0.9090909091,90.90909091
4,5,0,33,0,0
4,6,0,33,0,0
4,7,0,33,0,0
4,8,0,33,0,0
4,9,0,33,0,0
5,A,0,33,0,0
5,B,0,33,0,0
5,C,0,33,0,0
5,D,0,33,0,0
5,E,0,33,0,0
5,F,0,33,0,0
5,G,0,33,0,0
5,H,0,33,0,0
5,I,0,33,0,0
5,J,0,33,0,0
5,K,0,33,0,0
5,L,0,33,0,0
5,M,0,33,0,0
5,N,0,33,0,0
5,O,0,33,0,0
5,P,0,33,0,0
5,Q,0,33,0,0
5,R,0,33,0,0
5,S,0,33,0,0
5,T,0,33,0,0
5,U,0,33,0,0
