dataset,split,epoch,loss,accuracy,accuracy_percent,plotted_as_test_marker
Raw Pressure,Train,1,3.557808152,0.03024118738,3.024118738,False
Raw Pressure,Train,2,3.555454256,0.02894248609,2.894248609,False
Raw Pressure,Train,3,3.532409192,0.04155844156,4.155844156,False
Raw Pressure,Train,4,3.243958357,0.09480519481,9.480519481,False
Raw Pressure,Train,5,2.965703089,0.1500927644,15.00927644,False
Raw Pressure,Train,6,2.869376522,0.1768089054,17.68089054,False
Raw Pressure,Train,7,2.805574197,0.1933209647,19.33209647,False
Raw Pressure,Train,8,2.739282091,0.2113172542,21.13172542,False
Raw Pressure,Train,9,2.617048172,0.2421150278,24.21150278,False
Raw Pressure,Train,10,2.467655127,0.2714285714,27.14285714,False
Raw Pressure,Train,11,2.390290722,0.2873840445,28.73840445,False
Raw Pressure,Train,12,2.399419498,0.2987012987,29.87012987,False
Raw Pressure,Train,13,2.31229889,0.3222634508,32.22634508,False
Raw Pressure,Train,14,2.299555746,0.3244897959,32.44897959,False
Raw Pressure,Train,15,2.174059492,0.3543599258,35.43599258,False
Raw Pressure,Train,16,2.262099772,0.3445269017,34.45269017,False
Raw Pressure,Train,17,2.269939268,0.3345083488,33.45083488,False
Raw Pressure,Train,18,2.160862129,0.3584415584,35.84415584,False
Raw Pressure,Train,19,2.130614781,0.3697588126,36.97588126,False
Raw Pressure,Train,20,2.141282141,0.3619666048,36.19666048,False
Raw Pressure,Train,21,2.079376413,0.3734693878,37.34693878,False
Raw Pressure,Train,22,2.118236716,0.3666048237,36.66048237,False
Raw Pressure,Train,23,2.098039447,0.3730983302,37.30983302,False
Raw Pressure,Train,24,2.077714808,0.3747680891,37.47680891,False
Raw Pressure,Train,25,1.905131573,0.4187384045,41.87384045,False
Raw Pressure,Train,26,1.868999304,0.4313543599,43.13543599,False
Raw Pressure,Train,27,1.962597475,0.4074211503,40.74211503,False
Raw Pressure,Train,28,2.032173839,0.3888682746,38.88682746,False
Raw Pressure,Train,29,1.932447059,0.412244898,41.2244898,False
Raw Pressure,Train,30,2.133276503,0.3710575139,37.10575139,False
Raw Pressure,Train,31,2.000538831,0.3927643785,39.27643785,False
Raw Pressure,Train,32,1.954318617,0.4001855288,40.01855288,False
Raw Pressure,Train,33,1.983323248,0.4025974026,40.25974026,False
Raw Pressure,Train,34,2.011801187,0.4005565863,40.05565863,False
Raw Pressure,Train,35,2.101446545,0.3823747681,38.23747681,False
Raw Pressure,Train,36,2.393319334,0.3066790353,30.66790353,False
Raw Pressure,Train,37,2.324686196,0.3207792208,32.07792208,False
Raw Pressure,Train,38,2.221487455,0.3508348794,35.08348794,False
Raw Pressure,Train,39,2.147022481,0.3695732839,36.95732839,False
Raw Pressure,Train,40,2.013996732,0.3981447124,39.81447124,False
Raw Pressure,Train,41,2.207683137,0.3545454545,35.45454545,False
Raw Pressure,Train,42,2.246159337,0.3395176252,33.95176252,False
Raw Pressure,Train,43,2.263885306,0.3395176252,33.95176252,False
Raw Pressure,Train,44,2.057053173,0.3823747681,38.23747681,False
Raw Pressure,Train,45,2.104311732,0.3799628942,37.99628942,False
Raw Pressure,Train,46,2.123295455,0.3717996289,37.17996289,False
Raw Pressure,Train,47,2.061505682,0.387012987,38.7012987,False
Raw Pressure,Train,48,2.126157381,0.3697588126,36.97588126,False
Raw Pressure,Train,49,2.140524083,0.3690166976,36.90166976,False
Raw Pressure,Train,50,2.356099077,0.3391465677,33.91465677,False
Raw Pressure,Train,51,1.905724939,0.4287569573,42.87569573,False
Raw Pressure,Train,52,1.862608165,0.438961039,43.8961039,False
Raw Pressure,Train,53,1.864455843,0.4350649351,43.50649351,False
Raw Pressure,Train,54,1.807299941,0.4491651206,44.91651206,False
Raw Pressure,Train,55,2.149812659,0.3710575139,37.10575139,False
Raw Pressure,Train,56,2.010489622,0.3948051948,39.48051948,False
Raw Pressure,Train,57,1.840051383,0.4408163265,44.08163265,False
Raw Pressure,Train,58,1.886972221,0.4348794063,43.48794063,False
Raw Pressure,Train,59,1.974431275,0.4094619666,40.94619666,False
Raw Pressure,Train,60,1.868764132,0.4298701299,42.98701299,False
Raw Pressure,Train,61,1.845231694,0.4324675325,43.24675325,False
Raw Pressure,Train,62,1.795963662,0.4545454545,45.45454545,False
Raw Pressure,Train,63,1.833199139,0.4432282004,44.32282004,False
Raw Pressure,Train,64,1.992607476,0.3990723562,39.90723562,False
Raw Pressure,Train,65,1.903083329,0.4276437848,42.76437848,False
Raw Pressure,Train,66,1.914014668,0.4222634508,42.22634508,False
Raw Pressure,Train,67,1.81980447,0.4419294991,44.19294991,False
Raw Pressure,Train,68,1.755358411,0.4571428571,45.71428571,False
Raw Pressure,Train,69,1.756391502,0.4666048237,46.66048237,False
Raw Pressure,Train,70,1.787694588,0.4582560297,45.82560297,False
Raw Pressure,Train,71,1.781617796,0.4521335807,45.21335807,False
Raw Pressure,Train,72,1.752429992,0.4619666048,46.19666048,False
Raw Pressure,Train,73,1.794900133,0.4512059369,45.12059369,False
Raw Pressure,Train,74,1.76592123,0.4614100186,46.14100186,False
Raw Pressure,Train,75,1.738912301,0.46716141,46.716141,False
Raw Pressure,Train,76,1.75129236,0.4692022263,46.92022263,False
Raw Pressure,Train,77,1.770082038,0.4632653061,46.32653061,False
