true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
I,W,0,33,0,0
I,X,0,33,0,0
I,Y,0,33,0,0
I,Z,1,33,0.0303030303,3.03030303
I,1,1,33,0.0303030303,3.03030303
I,2,0,33,0,0
I,3,0,33,0,0
I,4,0,33,0,0
I,5,0,33,0,0
I,6,0,33,0,0
I,7,0,33,0,0
I,8,0,33,0,0
I,9,0,33,0,0
J,A,0,33,0,0
J,B,0,33,0,0
J,C,0,33,0,0
J,D,0,33,0,0
J,E,0,33,0,0
J,F,0,33,0,0
J,G,1,33,0.0303030303,3.03030303
J,H,0,33,0,0
J,I,6,33,0.1818181818,18.18181818
J,J,18,33,0.5454545455,54.54545455
J,K,0,33,0,0
J,L,0,33,0,0
J,M,0,33,0,0
J,N,0,33,0,0
J,O,1,33,0.0303030303,3.03030303
J,P,0,33,0,0
J,Q,0,33,0,0
J,R,0,33,0,0
J,S,0,33,0,0
J,T,0,33,0,0
J,U,1,33,0.0303030303,3.03030303
J,V,0,33,0,0
J,W,0,33,0,0
J,X,0,33,0,0
J,Y,1,33,0.0303030303,3.03030303
J,Z,0,33,0,0
J,1,0,33,0,0
J,2,0,33,0,0
J,3,0,33,0,0
J,4,1,33,0.0303030303,3.03030303
J,5,1,33,0.0303030303,3.03030303
J,6,2,33,0.06060606061,6.060606061
J,7,1,33,0.0303030303,3.03030303
J,8,0,33,0,0
J,9,0,33,0,0
K,A,0,33,0,0
K,B,1,33,0.0303030303,3.03030303
K,C,0,33,0,0
K,D,0,33,0,0
K,E,1,33,0.0303030303,3.03030303
K,F,1,33,0.0303030303,3.03030303
K,G,0,33,0,0
K,H,2,33,0.06060606061,6.060606061
K,I,0,33,0,0
K,J,0,33,0,0
K,K,20,33,0.6060606061,60.60606061
K,L,1,33,0.0303030303,3.03030303
K,M,0,33,0,0
K,N,0,33,0,0
K,O,0,33,0,0
K,P,2,33,0.06060606061,6.060606061
K,Q,0,33,0,0
K,R,3,33,0.09090909091,9.090909091
K,S,0,33,0,0
K,T,0,33,0,0
K,U,0,33,0,0
K,V,0,33,0,0
K,W,0,33,0,0
K,X,0,33,0,0
K,Y,0,33,0,0
K,Z,0,33,0,0
K,1,2,33,0.06060606061,6.060606061
K,2,0,33,0,0
K,3,0,33,0,0
K,4,0,33,0,0
K,5,0,33,0,0
K,6,0,33,0,0
K,7,0,33,0,0
K,8,0,33,0,0
K,9,0,33,0,0
L,A,1,33,0.0303030303,3.03030303
L,B,0,33,0,0
L,C,1,33,0.0303030303,3.03030303
L,D,0,33,0,0
L,E,0,33,0,0
L,F,0,33,0,0
L,G,0,33,0,0
L,H,0,33,0,0
L,I,1,33,0.0303030303,3.03030303
L,J,0,33,0,0
L,K,0,33,0,0
L,L,30,33,0.9090909091,90.90909091
L,M,0,33,0,0
L,N,0,33,0,0
L,O,0,33,0,0
L,P,0,33,0,0
L,Q,0,33,0,0
L,R,0,33,0,0
L,S,0,33,0,0
L,T,0,33,0,0
L,U,0,33,0,0
L,V,0,33,0,0
L,W,0,33,0,0
L,X,0,33,0,0
L,Y,0,33,0,0
L,Z,0,33,0,0
L,1,0,33,0,0
L,2,0,33,0,0
L,3,0,33,0,0
L,4,0,33,0,0
L,5,0,33,0,0
L,6,0,33,0,0
L,7,0,33,0,0
L,8,0,33,0,0
L,9,0,33,0,0
M,A,3,33,0.09090909091,9.090909091
M,B,1,33,0.0303030303,3.03030303
M,C,0,33,0,0
M,D,1,33,0.0303030303,3.03030303
M,E,0,33,0,0
M,F,0,33,0,0
M,G,0,33,0,0
M,H,8,33,0.2424242424,24.24242424
M,I,0,33,0,0
M,J,0,33,0,0
M,K,1,33,0.0303030303,3.03030303
M,L,0,33,0,0
M,M,13,33,0.3939393939,39.39393939
M,N,4,33,0.1212121212,12.12121212
M,O,0,33,0,0
M,P,1,33,0.0303030303,3.03030303
M,Q,0,33,0,0
M,R,0,33,0,0
M,S,0,33,0,0
M,T,0,33,0,0
M,U,0,33,0,0
M,V,0,33,0,0
M,W,0,33,0,0
M,X,0,33,0,0
M,Y,0,33,0,0
M,Z,0,33,0,0
M,1,0,33,0,0
M,2,0,33,0,0
M,3,0,33,0,0
M,4,1,33,0.0303030303,3.03030303
M,5,0,33,0,0
M,6,0,33,0,0
M,7,0,33,0,0
M,8,0,33,0,0
M,9,0,33,0,0
N,A,2,33,0.06060606061,6.060606061
N,B,0,33,0,0
N,C,0,33,0,0
N,D,1,33,0.0303030303,3.03030303
N,E,1,33,0.0303030303,3.03030303
N,F,0,33,0,0
N,G,0,33,0,0
N,H,4,33,0.1212121212,12.12121212
N,I,0,33,0,0
N,J,0,33,0,0
N,K,0,33,0,0
N,L,0,33,0,0
N,M,4,33,0.1212121212,12.12121212
N,N,12,33,0.3636363636,36.36363636
N,O,0,33,0,0
N,P,0,33,0,0
N,Q,0,33,0,0
N,R,0,33,0,0
N,S,0,33,0,0
N,T,0,33,0,0
N,U,2,33,0.06060606061,6.060606061
N,V,0,33,0,0
N,W,5,33,0.1515151515,15.15151515
N,X,0,33,0,0
N,Y,0,33,0,0
N,Z,0,33,0,0
N,1,0,33,0,0
N,2,0,33,0,0
N,3,0,33,0,0
N,4,2,33,0.06060606061,6.060606061
N,5,0,33,0,0
N,6,0,33,0,0
N,7,0,33,0,0
N,8,0,33,0,0
N,9,0,33,0,0
O,A,0,33,0,0
O,B,1,33,0.0303030303,3.03030303
O,C,0,33,0,0
O,D,0,33,0,0
O,E,0,33,0,0
O,F,0,33,0,0
O,G,1,33,0.0303030303,3.03030303
O,H,0,33,0,0
O,I,0,33,0,0
O,J,0,33,0,0
O,K,0,33,0,0
O,L,0,33,0,0
O,M,0,33,0,0
O,N,0,33,0,0
O,O,26,33,0.7878787879,78.78787879
O,P,0,33,0,0
O,Q,2,33,0.06060606061,6.060606061
O,R,0,33,0,0
O,S,0,33,0,0
O,T,0,33,0,0
O,U,1,33,0.0303030303,3.03030303
O,V,0,33,0,0
O,W,0,33,0,0
O,X,0,33,0,0
O,Y,0,33,0,0
O,Z,0,33,0,0
O,1,0,33,0,0
O,2,0,33,0,0
O,3,1,33,0.0303030303,3.03030303
O,4,1,33,0.0303030303,3.03030303
O,5,0,33,0,0
O,6,0,33,0,0
O,7,0,33,0,0
O,8,0,33,0,0
O,9,0,33,0,0
P,A,0,33,0,0
P,B,1,33,0.0303030303,3.03030303
P,C,0,33,0,0
P,D,0,33,0,0
P,E,0,33,0,0
P,F,1,33,0.0303030303,3.03030303
P,G,0,33,0,0
P,H,0,33,0,0
P,I,0,33,0,0
P,J,0,33,0,0
P,K,1,33,0.0303030303,3.03030303
P,L,0,33,0,0
P,M,0,33,0,0
P,N,0,33,0,0
P,O,0,33,0,0
P,P,26,33,0.7878787879,78.78787879
P,Q,0,33,0,0
P,R,1,33,0.0303030303,3.03030303
P,S,0,33,0,0
P,T,0,33,0,0
P,U,0,33,0,0
P,V,0,33,0,0
P,W,0,33,0,0
P,X,0,33,0,0
P,Y,1,33,0.0303030303,3.03030303
P,Z,0,33,0,0
P,1,1,33,0.0303030303,3.03030303
P,2,0,33,0,0
P,3,0,33,0,0
P,4,0,33,0,0
P,5,0,33,0,0
P,6,0,33,0,0
P,7,1,33,0.0303030303,3.03030303
P,8,0,33,0,0
P,9,0,33,0,0
Q,A,0,33,0,0
Q,B,1,33,0.0303030303,3.03030303
Q,C,0,33,0,0
Q,D,0,33,0,0
Q,E,0,33,0,0
Q,F,0,33,0,0
Q,G,5,33,0.1515151515,15.15151515
Q,H,0,33,0,0
Q,I,0,33,0,0
Q,J,0,33,0,0
Q,K,0,33,0,0
Q,L,1,33,0.0303030303,3.03030303
Q,M,1,33,0.0303030303,3.03030303
Q,N,0,33,0,0
Q,O,3,33,0.09090909091,9.090909091
Q,P,0,33,0,0
Q,Q,19,33,0.5757575758,57.57575758
Q,R,0,33,0,0
Q,S,0,33,0,0
Q,T,0,33,0,0
Q,U,0,33,0,0
Q,V,0,33,0,0
Q,W,0,33,0,0
Q,X,0,33,0,0
Q,Y,0,33,0,0
Q,Z,1,33,0.0303030303,3.03030303
Q,1,0,33,0,0
Q,2,0,33,0,0
Q,3,0,33,0,0
