dataset,split,epoch,loss,plotted_as_test_marker
Raw Pressure,Train,97,1.57701074,False
Raw Pressure,Train,98,1.60130468,False
Raw Pressure,Train,99,1.587079118,False
Raw Pressure,Train,100,1.588895814,False
Raw Pressure,Val,1,3.55526921,False
Raw Pressure,Val,2,3.554032231,False
Raw Pressure,Val,3,3.449153434,False
Raw Pressure,Val,4,2.94113146,False
Raw Pressure,Val,5,2.892472859,False
Raw Pressure,Val,6,2.83559211,False
Raw Pressure,Val,7,2.620740962,False
Raw Pressure,Val,8,2.520664443,False
Raw Pressure,Val,9,2.545950648,False
Raw Pressure,Val,10,2.206987072,False
Raw Pressure,Val,11,2.231850945,False
Raw Pressure,Val,12,2.253231111,False
Raw Pressure,Val,13,2.11251691,False
Raw Pressure,Val,14,2.080084255,False
Raw Pressure,Val,15,2.066714861,False
Raw Pressure,Val,16,1.970230908,False
Raw Pressure,Val,17,1.833234197,False
Raw Pressure,Val,18,1.823493304,False
Raw Pressure,Val,19,1.780066288,False
Raw Pressure,Val,20,1.813428369,False
Raw Pressure,Val,21,1.694079537,False
Raw Pressure,Val,22,1.764855798,False
Raw Pressure,Val,23,1.716256701,False
Raw Pressure,Val,24,1.672071475,False
Raw Pressure,Val,25,1.665092858,False
Raw Pressure,Val,26,1.824647846,False
Raw Pressure,Val,27,1.783033178,False
Raw Pressure,Val,28,1.745357101,False
Raw Pressure,Val,29,1.643483242,False
Raw Pressure,Val,30,1.892733064,False
Raw Pressure,Val,31,1.795896746,False
Raw Pressure,Val,32,1.501493697,False
Raw Pressure,Val,33,1.953779846,False
Raw Pressure,Val,34,1.605980177,False
Raw Pressure,Val,35,2.157164418,False
Raw Pressure,Val,36,2.171188658,False
Raw Pressure,Val,37,1.978448618,False
Raw Pressure,Val,38,1.926868997,False
Raw Pressure,Val,39,1.768000774,False
Raw Pressure,Val,40,1.720982037,False
Raw Pressure,Val,41,2.212762108,False
Raw Pressure,Val,42,1.950539435,False
Raw Pressure,Val,43,1.904494935,False
